metric,AIS_bucket,0–25%,25–40%,40–50%,50–60%,60–70%,70–100%,>100%,Total
store_count,<5%,45,8,11,6,1,5,12,88
store_count,5–15%,64,50,38,24,26,22,29,253
store_count,15–25%,39,88,59,50,40,54,20,350
store_count,25–30%,10,39,38,37,29,30,13,196
store_count,30–35%,10,36,41,59,45,53,16,260
store_count,35–40%,3,20,44,62,43,73,14,259
store_count,>40%,2,15,19,31,59,102,41,269

impression_share_pct,<5%,0.45,0.24,0.26,0.04,0.00,0.24,0.14,1.38
impression_share_pct,5–15%,0.65,1.10,1.02,0.51,4.21,0.28,0.22,7.99
impression_share_pct,15–25%,0.44,3.52,5.49,6.76,3.19,2.98,0.23,22.62
impression_share_pct,25–30%,0.06,1.12,5.99,4.60,3.82,0.96,0.14,16.70
impression_share_pct,30–35%,0.06,2.22,3.18,12.94,7.58,1.74,0.52,28.24
impression_share_pct,35–40%,0.03,0.41,2.57,7.73,3.54,2.73,0.32,17.33
impression_share_pct,>40%,0.01,0.22,0.33,0.57,1.47,2.42,0.73,5.75
